,CBR,Drop Rate %,RTT (Sec),TCP,TCP Start (Sec),Throughput (Mbps),Time (Sec)
0,0.0,0.0,0.06575564569138069,Agent/TCP,4.123904,2.621923504471192,19.99976
1,0.0,0.0,0.06575721593291199,Agent/TCP,4.827161,2.617741482699448,19.987833
2,0.0,0.0,0.06575706722337998,Agent/TCP,4.769037,2.6179090108402505,19.992301
3,0.0,0.0,0.06575229809234952,Agent/TCP,2.210811,2.6238853600577086,19.999515
4,0.0,0.0,0.06575243266787452,Agent/TCP,2.498716,2.6242712313162313,19.999468
5,0.0,0.0,0.0657569197505177,Agent/TCP,4.695832,2.6161652174003955,19.999208
6,0.0,0.0,0.06574904555734848,Agent/TCP,0.389782,2.6269776886200376,19.994486
7,0.0,0.0,0.06575870700372774,Agent/TCP,4.65454,2.6188078033928703,19.99966
8,0.0,0.0,0.06575458796116297,Agent/TCP,3.635722,2.6207051777623382,19.985642
9,0.0,0.0,0.0657569197505177,Agent/TCP,4.676374,2.6233840298225286,19.994726
10,0.5,0.0,0.0657727939037055,Agent/TCP,1.658075,2.6263954786834134,19.999989
11,0.5,0.0,0.0657751206132245,Agent/TCP,2.784256,2.6242973959590694,19.9995
12,0.5,0.0,0.0657721265346522,Agent/TCP,3.91647,2.6240237836430964,19.992056
13,0.5,0.0,0.06576924674666146,Agent/TCP,1.21662,2.626686395506739,19.999951
14,0.5,0.0,0.06577396989898894,Agent/TCP,4.25897,2.618212314745785,19.988909
15,0.5,0.0,0.06577651915789358,Agent/TCP,4.89237,2.6165010500677854,19.996633
16,0.5,0.0,0.06577159204339868,Agent/TCP,2.432946,2.6230084562051643,19.999218
17,0.5,0.0,0.06576926265989055,Agent/TCP,1.893715,2.6238865228860857,19.999498
18,0.5,0.0,0.06576971810193236,Agent/TCP,1.924132,2.626510918023276,19.999153
19,0.5,0.0,0.06577335258799125,Agent/TCP,4.620133,2.620049719333892,19.999261
20,1.0,0.0,0.06577896925996166,Agent/TCP,3.243885,2.6218834862221048,19.998985
21,1.0,0.0,0.0657806845401177,Agent/TCP,3.755931,2.6191224091319176,19.988666
22,1.0,0.0,0.06578143336868056,Agent/TCP,2.026113,2.6247870390668555,19.998893
23,1.0,0.0,0.06578315584158362,Agent/TCP,3.9201,2.6236134866682006,19.9982
24,1.0,0.0,0.06578023027681613,Agent/TCP,1.647948,2.6250876516507065,19.999
25,1.0,0.0,0.06577586818950891,Agent/TCP,1.230801,2.6282229424571684,19.999985
26,1.0,0.0,0.06577491440536043,Agent/TCP,1.042302,2.628547259310823,19.999085
27,1.0,0.0,0.06578584884696058,Agent/TCP,4.81375,2.616715098208209,19.999446
28,1.0,0.0,0.06577396861788559,Agent/TCP,0.494448,2.6255422335098664,19.99896
29,1.0,0.0,0.06579264382987587,Agent/TCP,4.787712,2.619813733664751,19.999908
30,1.5,0.0,0.0657844458119658,Agent/TCP,1.440334,2.623536566782802,19.992513
31,1.5,0.0,0.06579535158562365,Agent/TCP,4.942783,2.6148595766657685,19.999255
32,1.5,0.0,0.06578857505856917,Agent/TCP,2.386644,2.6217586862045836,19.999371
33,1.5,0.0,0.06578222216905902,Agent/TCP,0.100587,2.6291158897480047,19.999474
34,1.5,0.0,0.06579997082117574,Agent/TCP,4.716376,2.6185849787474615,19.999256
35,1.5,0.0,0.06578603467925777,Agent/TCP,0.517176,2.6264146635640726,19.99937
36,1.5,0.0,0.06578549038619562,Agent/TCP,0.700971,2.6255998514258803,19.999083
37,1.5,0.0,0.06578518297872371,Agent/TCP,0.623038,2.6240614037668233,19.999048
38,1.5,0.0,0.0657853346580559,Agent/TCP,0.833593,2.626436910554258,19.998843
39,1.5,0.0,0.06579575052192053,Agent/TCP,4.744344,2.617929962675,19.999267
40,2.0,0.0,0.06580096628131041,Agent/TCP,3.475884,2.623564552701137,19.99826
41,2.0,0.0,0.06579515768566546,Agent/TCP,1.628814,2.6227274751592016,19.99638
42,2.0,0.0,0.06580755095137446,Agent/TCP,4.947148,2.6148676331034384,19.99721
43,2.0,0.0,0.0658006422700591,Agent/TCP,3.72654,2.6231078274982256,19.998048
44,2.0,0.0,0.06579090450751267,Agent/TCP,0.982476,2.6261000487230635,19.998111
45,2.0,0.0,0.065797103743316,Agent/TCP,2.176603,2.6230252856351908,19.999687
46,2.0,0.0,0.06579919872029265,Agent/TCP,2.619138,2.6213126873146413,19.999987
47,2.0,0.0,0.06580575228111102,Agent/TCP,3.598163,2.622757943505371,19.998731
48,2.0,0.0,0.06579329392587535,Agent/TCP,1.508978,2.6232854527695078,19.999501
49,2.0,0.0,0.0657919602584818,Agent/TCP,0.343376,2.629013304860402,19.996194
50,2.5,0.0,0.06581078242368181,Agent/TCP,2.823655,2.6206854470874634,19.999131
51,2.5,0.0,0.06580420530973471,Agent/TCP,2.048818,2.62299538750758,19.998983
52,2.5,0.0,0.06581929289704742,Agent/TCP,4.033094,2.6211154962773824,19.999548
53,2.5,0.0,0.06580156605030818,Agent/TCP,0.949165,2.624895549634908,19.998883
54,2.5,0.0,0.06580165318107624,Agent/TCP,0.538448,2.627094693904564,19.999764
55,2.5,0.0,0.06581367406803859,Agent/TCP,4.38591,2.616351247424735,19.999838
56,2.5,0.0,0.06580627743119279,Agent/TCP,2.692067,2.620066060514871,19.998623
57,2.5,0.0,0.06580801731123392,Agent/TCP,2.729809,2.623185015506551,19.999929
58,2.5,0.0,0.06580557750439328,Agent/TCP,1.90931,2.625740540403088,19.99914
59,2.5,0.0,0.06580838894888388,Agent/TCP,2.335905,2.6237883808439135,19.998427
60,3.0,0.0,0.0658106513866227,Agent/TCP,0.551394,2.6243202235078003,19.998411
61,3.0,0.0,0.06581067351524847,Agent/TCP,0.230518,2.625725113458632,19.999838
62,3.0,0.0,0.06581864711207652,Agent/TCP,2.450042,2.6216762460676213,19.999852
63,3.0,0.0,0.06581352974358927,Agent/TCP,1.411879,2.6252590108053533,19.999424
64,3.0,0.0,0.06582441469979307,Agent/TCP,4.607359,2.618441867782537,19.999108
65,3.0,0.0,0.06581851763602196,Agent/TCP,3.038222,2.622426879700999,19.999244
